Rating,Address,Famous_for,Odisha Special,Mall,Cinema,Clothing,Market_name
4.3,"Shop No-1, Eastern Tower, Marketing Building, Ashok Nagar",Odishan Textiles ,TRUE,FALSE,FALSE,FALSE,Utkalika
4.5,"Hirapur Village Rd, Hirapur, Khordha, ",Traditional Odisha Handicraft ,TRUE,FALSE,FALSE,FALSE,Soumya Handicraft
4.3,"Bhubaneshwar Marg, Unit-2, Ashok Nagar"," Fashion wears, Accessories, Footwear ",FALSE,TRUE,FALSE,TRUE,Market building 
4.3,"First Floor,Khata No.444,, Kharabela Nagar, Master Canteen Area, Kharabela Nagar"," Fashion wears, Accessories, Footwear ",FALSE,TRUE,FALSE,TRUE,Reliance Trends
4.2," 2nd St, Unit-2, Ashok Nagar","Fashion wears, Accessories, Footwear ",FALSE,TRUE,TRUE,TRUE,BMC Keshari Mall
4.2,"BMC Bhawani Mall, Unit ? II, Saheed Nagar, Bhubaneswar","Fashion wears, Accessories, Footwear ,Food",FALSE,TRUE,TRUE,TRUE,INOX
4.6,"Puri - Cuttack Rd, Rasulgarh Industrial Estate, Rasulgarh","Fashion wears, Accessories, Footwear ,Food",FALSE,TRUE,TRUE,TRUE,Esplanade
4.3,"Forum Mart, 89, Unit 3, Kharabela Nagar","Fashion wears, Accessories, Footwear ,Food",FALSE,TRUE,FALSE,TRUE,Big Bazar
4.2,"Madhusudam Marg, Unit 3, Bhubaneswar","Traditionally woven fabrics- Kat fabrics, Silver ornaments ",TRUE,FALSE,FALSE,FALSE,Ekmara hart
3.9,"Master Canteen Area, Kharabela Nagar, Bhubaneswar",Sarees,TRUE,FALSE,FALSE,TRUE,Saree Mandir
4.1,"21/A, Shriya Talkies St, Master Canteen Area, Kharabela Nagar","Horn Work, Local crafts , Bamboo Basketry, Patchwork, Brass,Bell Metal Work",TRUE,FALSE,FALSE,FALSE,Station Square
3.9,"132, Forest Park",Paintings,TRUE,FALSE,FALSE,FALSE,Orrisa Modern Art Gallery
3.5,"D-2 & 3, Industrial Estate, Rasulgarh","Handicrafts, Patta Paintings ",TRUE,FALSE,FALSE,FALSE,Orrisa State Handloom
4.2,"Nandankanan Rd, j-7,Jayadev Vihar","Fashion wears, Accessories, Footwear ,Food",FALSE,TRUE,FALSE,TRUE,The Pal Heights
